TRIP_ID,EMPLOYEE_ID,EXPENSE_TYPE,ORIGIN,DESTINATION,CABIN_CLASS,DISTANCE_MILES,NET_COST,NIGHTS
T-9901,EMP-401,Flight,JFK,LHR,Business,3450,1200.00,
T-9902,EMP-234,Flight,BOM,LHR,Economy,4480,680.00,
T-9903,EMP-567,Flight,ORD,LAX,Economy,1745,320.00,
T-9904,EMP-401,Flight,LHR,SIN,Business,6750,2100.00,
T-9905,EMP-812,Flight,DEL,DXB,Economy,1400,210.00,
T-9906,EMP-234,Flight,SFO,JFK,Premium Economy,2590,480.00,
T-9907,EMP-103,Flight,BOM,DEL,Economy,900,95.00,
T-9908,EMP-567,Flight,JFK,CDG,Business,3625,1450.00,
T-9909,EMP-401,Flight,LAX,NRT,Economy,5450,720.00,
T-9910,EMP-812,Flight,LHR,DXB,Premium Economy,3410,620.00,
T-9911,EMP-103,Flight,JFK,LHR,Economy,,850.00,
T-9912,EMP-234,Flight,ORD,MEX,Economy,,,
T-9913,EMP-401,Hotel,LHR,LHR,,,,4
T-9914,EMP-567,Hotel,SIN,SIN,,,320.00,
T-9915,EMP-234,Car Rental,,,, 185,95.00,
T-9916,EMP-103,Train,,,, 220,42.00,
T-9917,EMP-812,Taxi,,,,18,28.00,
