account_number,bill_start,bill_end,energy_kwh,tariff,charges
ACC-4401,2026-04-05,2026-05-04,48500,C1-COMM,5820.00
ACC-4402,2026-04-08,2026-05-07,31200,C2-COMM,3744.00
ACC-4403,2026-04-03,2026-05-02,72000,I1-IND,8640.00
ACC-4401,2026-03-06,2026-04-04,45100,C1-COMM,5412.00
ACC-4404,2026-04-10,2026-05-09,0,C1-COMM,0.00
ACC-4403,2026-03-04,2026-04-02,68800,I1-IND,8256.00
ACC-4405,2026-04-12,2026-05-11,105000,I2-IND,12600.00
ACC-4402,2026-03-09,2026-04-07,28900,C2-COMM,3468.00
ACC-4405,2026-03-13,2026-04-11,98500,I2-IND,11820.00
ACC-4406,2026-04-14,2026-05-13,41000,C3-COMM,4920.00
